asset,rows_total,rows_train,rows_test,ema1_period,ema2_period,ema3_period,train_sharpe,train_total_return,train_annualized_return,train_max_drawdown,train_trades,view_q
tpkgbgbx,1532,919,613,10,101,100,0.7042172615772411,0.9041262344067929,0.19315173014711906,-0.2678344395340146,9,0.19315173014711906
ipgpususd,579,347,232,4,176,118,0.7034860644268794,0.4797916200049708,0.32924142553328406,-0.18275182892515462,4,0.32924142553328406
0883hkhkd,572,343,229,34,158,154,0.7026822755035954,0.48343524445538,0.3360723818975333,-0.28745462616542095,4,0.3360723818975333
emrususd,872,523,349,4,110,106,0.6992028086768841,0.40193669908783614,0.17678998471827811,-0.28163019550523744,5,0.17678998471827811
adpususd,939,563,376,13,134,127,0.696367475085955,0.3245479669083262,0.13406450678898985,-0.14748489280097143,7,0.13406450678898985
usddkk,655,393,262,4,173,103,0.6946399204004166,0.09219575979439965,0.05817888262881832,-0.05703376645172492,4,0.05817888262881832
acnususd,501,300,201,10,101,100,0.6945866747759293,0.19713280514091824,0.16316026803143324,-0.15548627992628783,6,0.16316026803143324
sjmususd,525,315,210,16,119,121,0.693411087519698,0.1580606209689004,0.12456622328094791,-0.12750945308540873,3,0.12456622328094791
gbpchf,503,301,202,10,170,103,0.688960654009432,0.04935921031725665,0.04116106041926071,-0.03535886228355551,3,0.04116106041926071
gpsususd,581,348,233,16,194,130,0.6879970492589906,0.5309671151385098,0.361259102410016,-0.28385174147885994,3,0.361259102410016
expeususd,927,556,371,22,197,193,0.6574613017500872,1.1528540738796966,0.4155808267734129,-0.3148875582119351,5,0.4155808267734129
halususd,1214,728,486,25,188,148,0.6562063052956145,0.49798023169847583,0.1501437012630502,-0.21922451193058565,6,0.1501437012630502
lngususd,484,290,194,10,107,103,0.6545175337114979,0.22169839597201646,0.19005962291888845,-0.2247858780650576,6,0.19005962291888845
usdcnh,683,409,274,4,80,118,0.6472105605541252,0.08278614706220822,0.05022663213634804,-0.0585567367896339,4,0.05022663213634804
eaususd,1051,630,421,4,191,148,0.6372045798089692,0.5669983715945999,0.1968160868194644,-0.32884734992642295,10,0.1968160868194644
eixususd,1028,616,412,7,191,160,0.6274350795724084,0.4867142623635705,0.17613373690170886,-0.32438831886345687,7,0.17613373690170886
rbsgbgbx,578,346,232,10,167,103,0.6266484187836127,0.37765824698248496,0.2628159230886633,-0.34929576372931376,4,0.26281592308866353
aaususd,970,582,388,4,80,148,0.6259803555720068,1.1016817125042122,0.37932993583946084,-0.34254573764110535,5,0.37932993583946106
idxxususd,412,247,165,25,113,109,0.6191710703229766,0.40710096504032944,0.41686279535672566,-0.22351625099725997,3,0.41686279535672566
khcususd,983,589,394,4,113,199,0.6185834409488128,0.2274888340685055,0.09165550010862455,-0.12830957352386976,5,0.09165550010862455
usdils,1428,856,572,7,197,112,0.6016263005728975,0.16971290342084688,0.04722989461091842,-0.08797808454884601,9,0.04722989461091842
sbuxususd,775,465,310,16,113,106,0.5974555669703919,0.7574603910555553,0.35741350837034624,-0.31512387270654096,4,0.35741350837034647
usdmxn,1075,645,430,10,173,127,0.5952843464302924,0.2222377269211535,0.08156225710380616,-0.07595343184113985,6,0.08156225710380616
iaggbgbx,403,241,162,4,167,142,0.5916183645563571,0.13804511923424867,0.1447819582921499,-0.266298642449238,2,0.1447819582921499
bacususd,670,402,268,37,176,172,0.5899189524530595,0.2473202455354293,0.14859070015326137,-0.2297452745758136,4,0.14859070015326137
mklususd,769,461,308,4,197,127,0.5806651761888887,0.20653199603581784,0.10808278918641401,-0.17188031016998845,7,0.10808278918641401
fitbususd,1258,754,504,13,101,100,0.5722276079354165,0.9631127126466787,0.2528740849429649,-0.25378656320000975,7,0.2528740849429649
mcdususd,743,445,298,4,197,199,0.570255122662236,0.3705826829090586,0.19544158919168786,-0.22676891615541947,5,0.19544158919168786
fdxususd,1126,675,451,4,182,103,0.5695174034649546,0.6190193452263923,0.19707334586442316,-0.4264339817480523,9,0.19707334586442316
0857hkhkd,492,295,197,4,80,112,0.5640327022128045,0.2606899829673208,0.21883063939755254,-0.2984714298100744,6,0.21883063939755254
weirgbgbx,657,394,263,10,170,103,0.5577270327077363,0.19820196723095385,0.12260591901755236,-0.1897437291973381,5,0.12260591901755236
swedasesek,764,458,306,4,161,106,0.549770408150153,0.2332940097708689,0.12229370176491572,-0.15598690219518746,5,0.12229370176491572
gpnususd,645,387,258,25,197,115,0.548208072939991,0.23440162114456187,0.14697264171084812,-0.17515458191916067,5,0.14697264171084834
vkfreur,519,311,208,25,176,121,0.548111256320021,0.3598347566489546,0.28281018871874264,-0.2443769860375541,3,0.28281018871874264
humususd,752,451,301,28,92,115,0.533051652670667,0.25366090730143687,0.13464221587098324,-0.17607284982624297,4,0.13464221587098324
kmbususd,1366,819,547,16,197,178,0.5270328391566663,0.31419151426701597,0.08770307547485712,-0.19016719570593474,8,0.08770307547485712
smingbgbx,1393,835,558,34,137,103,0.5177211068705843,0.43539766701809324,0.11525365921208208,-0.2008893379708,7,0.11525365921208208
